题号    答案
1        3'5/8
2        6
3        16'1/5
4        5'1/4
5        2'1/2
6        2/105
7        68
8        -10'1/7
9        7'1/7
10       2
11       4'12/25
12       36
13       -5'3/10
14       38'4/7
15       5/9
16       12
17       17'2/3
18       2
19       14'1/2
20       8'1/4
21       3
22       48
23       27/200
24       2
25       10/41
26       4'36/49
27       2/3
28       93'1/3
29       -7'3/4
30       24
31       -2
32       -1/2
33       3'1/2
34       32
35       4'5/6
36       -1
37       6'3/4
38       3'3/4
39       2/63
40       42
41       5'5/6
42       1/32
43       4'29/40
44       -1/9
45       9'1/2
46       -2/3
47       4'2/7
48       -43
49       -7
50       11'2/3
51       20'1/2
52       4'1/4
53       9'4/5
54       2'19/20
55       2'6/7
56       1'1/6
57       -14'3/5
58       5/12
59       112
60       2
61       24'1/4
62       1/10
63       1'1/5
64       3'1/4
65       10'2/5
66       1/45
67       8
68       14'2/5
69       1
70       2
71       -5/28
72       1'1/2
73       -2'1/9
74       2/3
75       21'1/8
76       -2'13/24
77       1'3/10
78       47'1/2
79       0
80       73/90
81       -3'8/9
82       1
83       17'1/2
84       1
85       -9'1/2
86       1'1/8
87       -13
88       18
89       34'2/7
90       -3'2/3
91       1'1/4
92       8'2/5
93       16/45
94       -4
95       1'1/4
96       7/24
97       4'1/2
98       10'15/16
99       0
100      -18
101      18'2/3
102      27/100
103      2/3
104      8'2/3
105      1/5
106      2/15
107      8'3/5
108      18'2/3
109      8'3/4
110      13'19/20
111      -3'1/3
112      3/4
113      19'1/5
114      4'1/6
115      11/45
116      5
117      15
118      55
119      2'4/7
120      4'6/7
121      11/14
122      1'1/5
123      1'2/3
124      1'1/15
125      2/3
126      43/50
127      4
128      3/4
129      1'1/2
130      512
131      5'3/8
132      44'4/9
133      9/10
134      1/3
135      11
136      20
137      3'17/30
138      -28/37
139      20'1/4
140      7/18
141      7/16
142      5'1/2
143      -7'43/56
144      4'1/4
145      5/9
146      7'1/35
147      8
148      9'5/14
149      2'2/3
150      12
151      -6
152      5
153      1/5
154      162
155      -15'2/3
156      62
157      15'1/3
158      8'1/3
159      -17'1/2
160      8
161      -59'2/3
162      2'29/32
163      11'1/9
164      8
165      27'1/2
166      -5'5/21
167      16'3/4
168      12
169      2'1/12
170      -13
171      10
172      1'1/2
173      4'1/20
174      -55
175      10/11
176      -5'6/7
177      5/12
178      13
179      3'1/5
180      -2'2/3
181      1
182      1
183      34/147
184      45/64
185      6'1/8
186      -19/30
187      1'1/5
188      -2/63
189      9/40
190      2
191      3'19/48
192      6'1/10
193      5'13/14
194      4'1/3
195      -3'8/9
196      -2'1/4
197      2/9
198      29'1/6
199      24/35
200      4
201      1
202      2'2/3
203      9/32
204      38
205      7/20
206      -6'14/15
207      720
208      1'1/7
209      24
210      1'1/4
211      3'3/49
212      4'4/5
213      6
214      9
215      30
216      2'7/60
217      5'1/18
218      8
219      1'29/30
220      -5/72
221      1'1/5
222      27'2/9
223      4'1/4
224      2'1/9
225      24
226      -7/30
227      8'1/2
228      1/40
229      21/40
230      5/12
231      11/32
232      3/5
233      5'31/35
234      5'11/40
235      14'1/4
236      8'13/40
237      10'2/5
238      1'1/35
239      -9/20
240      224
241      1'5/6
242      12'3/20
243      8'22/27
244      -1/3
245      6'1/2
